Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,33.0,0.10606095893069767,
Naive Bayes,Random Forest,16.0,0.0056187904700806405,*
Naive Bayes,XGB,13.0,0.0028246063887460973,*
Naive Bayes,SVM,15.0,0.004171366146371001,*
Naive Bayes,ANN,14.0,0.003320447003849746,*
Naive Bayes,K Neighbors,19.0,0.010470176826979682,*
Decision Tree,Random Forest,17.0,0.00693772344142142,*
Decision Tree,XGB,13.0,0.0028155441583768486,*
Decision Tree,SVM,14.0,0.003309990708010947,*
Decision Tree,ANN,14.0,0.003309990708010947,*
Decision Tree,K Neighbors,19.0,0.010446033026656261,*
Random Forest,XGB,37.5,0.1780397209043625,
Random Forest,SVM,39.0,0.20534239175262647,
Random Forest,ANN,38.0,0.18378339215631517,
Random Forest,K Neighbors,38.5,0.20051849975850133,
XGB,SVM,47.5,0.43650676916608866,
XGB,ANN,48.5,0.46815206312230817,
XGB,K Neighbors,27.0,0.04178253141522914,*
SVM,ANN,49.5,0.5,
SVM,K Neighbors,28.5,0.04912360999499433,*
ANN,K Neighbors,28.5,0.04912360999499433,*
