Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,7.5,0.0007463581887439602,*
Naive Bayes,Random Forest,0.0,8.632699844113366e-05,*
Naive Bayes,XGB,0.0,7.425685236497103e-05,*
Naive Bayes,SVM,0.0,4.372493268350732e-05,*
Naive Bayes,ANN,0.0,4.372493268350732e-05,*
Naive Bayes,K Neighbors,0.0,8.583754358560144e-05,*
Decision Tree,Random Forest,0.0,8.632699844113366e-05,*
Decision Tree,XGB,0.0,7.425685236497103e-05,*
Decision Tree,SVM,0.0,4.372493268350732e-05,*
Decision Tree,ANN,0.0,4.372493268350732e-05,*
Decision Tree,K Neighbors,0.0,8.583754358560144e-05,*
Random Forest,XGB,34.0,0.10471155522020303,
Random Forest,SVM,28.0,0.028258587989148327,*
Random Forest,ANN,22.5,0.008285039392954975,*
Random Forest,K Neighbors,40.5,0.24088471055673705,
XGB,SVM,37.0,0.10699587858972992,
XGB,ANN,34.0,0.06130415156799447,
XGB,K Neighbors,29.5,0.052889439961106954,
SVM,ANN,49.5,0.5,
SVM,K Neighbors,27.0,0.022925682973306875,*
ANN,K Neighbors,22.0,0.007333812835565949,*
