Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,2.0,0.00016491926038899677,*
Naive Bayes,Random Forest,0.0,5.533538229693102e-05,*
Naive Bayes,XGB,0.0,4.372493268350732e-05,*
Naive Bayes,SVM,0.0,3.193222375218491e-05,*
Naive Bayes,ANN,0.0,4.372493268350732e-05,*
Naive Bayes,K Neighbors,4.0,0.0002777288696000655,*
Decision Tree,Random Forest,0.0,5.533538229693102e-05,*
Decision Tree,XGB,0.0,4.372493268350732e-05,*
Decision Tree,SVM,0.0,3.193222375218491e-05,*
Decision Tree,ANN,0.0,4.372493268350732e-05,*
Decision Tree,K Neighbors,0.0,8.632699844113366e-05,*
Random Forest,XGB,44.0,0.2518156294491658,
Random Forest,SVM,40.0,0.08403915951748514,
Random Forest,ANN,46.0,0.3352026477548238,
Random Forest,K Neighbors,24.0,0.014789278274806932,*
XGB,SVM,45.0,0.18406012534675953,
XGB,ANN,49.5,0.5,
XGB,K Neighbors,22.0,0.007359507378672812,*
SVM,ANN,45.0,0.18406012534675953,
SVM,K Neighbors,20.0,0.0029859818122976735,*
ANN,K Neighbors,22.0,0.007359507378672812,*
