Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,1.0,0.00390625,*
Naive Bayes,Random Forest,0.0,0.001953125,*
Naive Bayes,XGB,0.0,0.001953125,*
Naive Bayes,SVM,0.0,0.001953125,*
Naive Bayes,ANN,0.0,0.001953125,*
Naive Bayes,K Neighbors,0.0,0.001953125,*
Decision Tree,Random Forest,0.0,0.001953125,*
Decision Tree,XGB,0.0,0.001953125,*
Decision Tree,SVM,0.0,0.001953125,*
Decision Tree,ANN,0.0,0.001953125,*
Decision Tree,K Neighbors,0.0,0.001953125,*
Random Forest,XGB,22.0,0.5604442739198832,
Random Forest,SVM,18.0,0.30493703992157595,
Random Forest,ANN,24.0,0.7110254070787286,
Random Forest,K Neighbors,5.0,0.020974048961404597,*
XGB,SVM,22.5,0.5790997419539188,
XGB,ANN,27.0,0.95693920783498,
XGB,K Neighbors,7.0,0.03617080275646433,*
SVM,ANN,22.5,0.5790997419539188,
SVM,K Neighbors,5.0,0.020974048961404597,*
ANN,K Neighbors,5.0,0.020974048961404597,*
