InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	M0P0	M0P1	Class
0	0	0	0	0	0	0	0	2	0	0	1	2	1	2	1	0	1	0	1	2	5
1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0
2	0	0	0	1	0	0	0	2	0	0	0	1	0	1	1	0	0	0	2	1	7
3	0	0	0	1	2	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	4
4	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	3
5	1	0	0	1	2	0	1	0	0	0	1	1	1	1	1	0	2	0	1	0	3
6	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	6
7	0	1	0	0	1	1	0	1	0	1	1	1	1	2	1	1	2	0	1	0	3
8	0	1	0	0	1	0	1	0	0	0	1	1	2	0	0	1	1	0	1	2	5
9	1	0	0	1	1	0	0	1	0	1	1	0	0	2	2	0	0	0	1	2	5
10	1	1	0	0	2	1	0	0	0	1	1	0	2	1	1	0	0	0	1	1	4
11	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	4
12	0	0	0	1	1	0	0	0	0	1	1	1	1	2	1	0	1	0	2	1	7
13	0	1	0	1	1	0	0	1	0	0	2	1	0	1	1	0	1	1	0	1	1
14	0	0	0	2	0	0	0	1	0	1	0	2	1	0	0	0	1	1	1	1	4
15	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	1	4
16	1	1	0	2	0	0	0	1	0	1	1	1	0	2	0	0	1	0	0	2	2
17	0	0	0	1	0	0	0	0	0	0	2	1	0	1	1	1	1	1	0	2	2
18	0	0	1	1	1	0	0	0	0	1	2	0	1	1	1	0	1	0	1	1	4
19	0	1	0	0	1	0	1	1	0	1	0	1	2	0	1	0	0	1	1	1	4
20	0	1	1	2	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	1	7
21	0	0	0	0	2	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	4
22	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	1	4
23	0	1	0	1	0	0	0	0	0	0	1	0	2	0	1	0	1	1	1	1	4
24	1	1	0	1	2	0	1	0	0	1	1	0	0	1	1	1	1	0	0	2	2
25	0	0	0	1	1	0	1	1	0	0	1	1	1	2	1	0	0	0	1	0	3
26	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	4
27	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	2	0	1	1	4
28	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	2	0	1	0	3
29	0	1	0	2	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	2	5
30	0	1	0	2	1	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0
31	0	1	0	2	2	0	0	1	1	0	0	1	1	2	1	0	1	0	1	1	4
32	1	0	0	2	2	0	1	0	1	1	0	1	2	1	0	0	0	1	0	1	1
33	0	1	1	0	1	0	0	1	0	0	0	1	0	1	2	0	2	0	1	0	3
34	0	0	0	1	1	0	0	2	0	1	0	2	0	1	2	0	1	0	2	2	8
35	0	1	0	0	1	0	0	2	1	1	0	1	1	1	1	1	2	0	1	1	4
36	1	0	0	1	2	0	0	2	1	2	0	0	1	1	1	0	1	0	1	1	4
37	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	1	1	2	5
38	0	0	0	2	1	0	0	2	0	1	0	0	1	1	2	0	1	0	1	0	3
39	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1
40	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	4
41	1	0	0	0	2	0	1	1	0	1	1	0	2	0	1	0	1	0	1	1	4
42	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1
43	1	0	0	1	0	0	0	0	0	2	2	1	2	0	1	0	1	0	1	2	5
44	0	0	0	0	1	0	0	2	1	2	0	0	1	2	0	0	0	0	2	1	7
45	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	2	0	1	1	4
46	0	0	0	0	1	0	0	1	0	1	0	1	1	1	2	0	1	0	1	0	3
47	0	0	0	1	1	1	0	2	0	1	1	1	1	0	1	1	1	0	0	0	0
48	1	2	1	1	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	2	2
